Code,Airport Name
BVB,Boavista Brazil
BVC,Boa Vista Cape Verde
BVE,Brive-La-Gaillarde France - Laroche
BVG,Berlevag Norway
BVH,Vilhena Brazil
BVI,Birdsville Australia
BWA,Bhairawa Nepal
BWD,Brawnwood TX
BWE,Braunschweig Denmark
BWG,Bowling Green KY
BWI,Baltimore MD
BWK,Bol Croatia
BWN,Bandar Seri Begawan Brunei
BWQ,Brewarrina Australia
BWT,Burnie Australia
BXB,Babo Indonesia
BXD,Bade Indonesia
BXM,Batom Indonesia
BXR,Bam Iran
BXU,Butuan Philippines
BXZ,Bunsil Papua New Guinea
BYA,Boundary AK
BYM,Bayamo Cuba
BYU,Bayreuth Germany
BZE,Belize City Belize - International
BZG,Bydgoszcz Poland
BZI,Balikesir Turkey
BZL,Barisal Bangladesh
BZN,Bozeman MT
BZO,Bolzano Italy
BZR,Beziers France
BZV,Brazzaville Congo
CAC,Cascavel Brazil
CAE,Columbia SC
CAG,Cagliari Italy
CAI,Cairo Egypt
CAK,Akron/Canton OH
CAK,Canton/Akron OH
CAL,Campbeltown United Kingdom
CAN,Guangzhou China
CAP,Cap Haitien Haiti
CAQ,Caucasia Colombia
CAS,Canaima Venezuela
CAS,Casablanca Morocco - Anfa
CAW,Campos Brazil
CAY,Cayenne French Guiana
CAZ,Cobar Australia
CBB,Cochabamba Bolivia
CBE,Cumberland MD
CBG,Cambridge United Kingdom
CBH,Bechar Algeria
CBL,Ciudad Bolivar Venezuela
CBO,Cotabato Philippines
CBQ,Calabar Nigeria
CBR,Canberra Australia
CCF,Carcassonne France
CCJ,Kozhikode India
CCM,Criciuma Brazil
CCP,Concepcion Chile
CCR,Concord CA
CCS,Caracas Venezuela
CCU,Calcutta India
CCU,Kolkata India
CCV,Craig Cove Vanuatu
CDB,Cold Bay AK
CDC,Cedar City UT
CDG,Paris France - Charles Degaulle
CDR,Chadron NE
CDV,Cordova AK
CEB,Cebu Philippines - Matan International
CEC,Crescent City CA
CED,Cedun Australia
CEE,Cherepovets Russia
CEE,Chevepovets Russia
CEG,Chester United Kingdom
CEI,Chiang Rai Thailand
CEK,Chelybinsk Russia
CEM,Central AK
CEN,Ciudad Obregon Mexico
CEQ,Cannes France - Mandelieu
CEZ,Cortez CO
CFA,Coffee Point AK
CFE,Clermont-ferrand France
CFN,Donegal Ireland
CFR,Caen France
CFS,Coffs Harbor Australia
CFU,Kerkyra Greece
CGA,Craig AK
CGB,Cuiaba Brazil
CGD,Changde China
CGH,Sao Paulo Brazil - Congonhas
CGI,Cape Girardeau MO
CGK,Jakarta Indonesia
CGN,Cologne Germany - Cologne/Bonn
CGO,Zhengzha China
CGP,Chittagong Bangladesh
CGQ,Changchun China
CGR,Campo Grande Brazil
CGY,Cagayan De Oro Philippines - Lumbia
CHA,Chattanooga TN
CHC,Christchurch New Zealand
CHG,Chaoyang China
CHI,Chicago IL - All airports
CHO,Charlottesville VA
CHP,Circle Hot Springs AK
CHQ,Chania Greece
CHS,Charleston SC
CHT,Chatham Island New Zealand
CHU,Chuathbaluk AK
CHX,Changuinda Panama
CHY,Choiseul Bay Solomon Islands
CIA,Rome Italy - Ciampino
CIC,Chico CA
CID,Cedar Rapids IA
CIF,Chifeng China
CIJ,Cobija Bolivia
CIK,Chalkyitsik AK
CIP,Chipata Zambia
CIT,Shimkent Kazakhstan
CIU,Sault Ste Marie MI
CIW,Canouan Saint Vincent and the Grenadines
CIX,Chicayo Peru
CJA,Cajamarca Peru
CJB,Coimbatore India
CJC,Calama Chile
CJJ,Cheongju South Korea
CJL,Chitral Pakistan
CJS,Ciudad Juarez Mexico
CJU,Jeju South Korea - Jeju Airport metro area
CKB,Clarksburg WV
CKG,Chongqing China
CKI,Croker Island Australia
CKO,Crooked Creek AK
CKS,Carajas Brazil
CKX,Chicken AK
CKY,Conakry Guinea
CLD,Carlsbad CA
CLE,Cleveland OH
CLJ,Cluj Romania
CLL,College Station TX
CLM,Port Angeles WA
CLO,Cali Colombia
CLP,Clarks Point AK
CLQ,Colima Mexico
CLT,Charlotte NC
CLY,Calvi France
CMA,Cunnamulla Australia
CMB,Colombo Sri Lanka
CME,Ciudad Del Carmen Mexico
CMF,Chambery France
CMG,Corumba Brazil
CMH,Columbus OH
CMI,Champaign/Urbana IL
CMI,Urbana/Champaign IL
CMJ,Chi Mei Taiwan
CMK,Club Makokola Malawi
CMN,Casablanca Morocco - Mohamed V
CMU,Kundiawa Papau New Guinea
CMW,Camaguey Cuba
CMX,Hancock MI
CNB,Coonamble Australia
CNC,Coconut Island Australia
CND,Constanta Romania
CNF,Belo Horizonte Brazil - Tancredo Neves Intl.
CNF,Blo Horizonte Brazil
CNJ,Cloncurry Australia
CNK,Concordia KS
CNM,Carlsbad NM
CNP,Neerlerit Inaat Greenland
CNQ,Corrientes Argentina
CNS,Cairns Australia
CNX,Chiang Mai Thailand
